code_stock,code_industry,pe_stock,pb_stock,pe_industry,pb_industry,date_time
600000,J66,5.19,0.54,5.89,0.63,2020-05-29
600004,G56,47.43,2.04,37.33,1.54,2020-05-29
600009,G56,37.5,4.35,37.33,1.54,2020-05-29
600010,C31,--,0.96,10.69,0.85,2020-05-29
600011,D44,62.31,0.66,17.02,1.24,2020-05-29
600015,J66,4.43,0.36,5.89,0.63,2020-05-29
600016,J66,4.56,0.46,5.89,0.63,2020-05-29
600018,G55,10.66,1.12,13.23,1.1,2020-05-29
600019,C31,9.69,0.61,10.69,0.85,2020-05-29
600023,D44,12.47,0.74,17.02,1.24,2020-05-29
600025,D44,13.79,1.18,17.02,1.24,2020-05-29
600027,D44,9.42,0.53,17.02,1.24,2020-05-29
600028,B07,21.75,0.7,30.01,0.67,2020-05-29
600029,G56,--,1.06,37.33,1.54,2020-05-29
600030,J67,22.59,1.62,24.97,1.56,2020-05-29
600031,C35,15.19,3.33,38.13,3.78,2020-05-29
600036,J66,8.94,1.33,5.89,0.63,2020-05-29
600038,C37,43.62,2.97,30.04,1.79,2020-05-29
600048,K70,6.12,1.06,8.07,1.15,2020-05-29
600050,I63,32.38,1.07,41.83,1.42,2020-05-29
600061,J67,21.12,1.27,24.97,1.56,2020-05-29
600066,C36,18.02,1.54,20.65,1.51,2020-05-29
600068,E48,5.32,0.53,7.31,0.73,2020-05-29
600085,C27,39.27,3.62,43.1,4.17,2020-05-29
600089,C38,12.88,0.71,25.9,3.02,2020-05-29
600100,C39,--,1.32,41.54,3.93,2020-05-29
600104,C36,11.33,0.84,20.65,1.51,2020-05-29
600109,J67,21.66,1.41,24.97,1.56,2020-05-29
600111,C32,57.48,3.8,32.73,1.88,2020-05-29
600115,G56,--,1.09,37.33,1.54,2020-05-29
600118,C39,119.71,6.68,41.54,3.93,2020-05-29
600153,F51,4.34,0.76,15.86,1.37,2020-05-29
600170,E48,10.05,0.86,7.31,0.73,2020-05-29
600176,C30,15.94,1.93,15.28,2.23,2020-05-29
600177,C18,6.76,1.08,16.64,1.58,2020-05-29
600183,C39,39.64,6.63,41.54,3.93,2020-05-29
600188,B06,4.9,0.67,7.61,0.82,2020-05-29
600196,C27,24.73,2.41,43.1,4.17,2020-05-29
600208,K70,17.36,0.74,8.07,1.15,2020-05-29
600219,C32,14.59,0.62,32.73,1.88,2020-05-29
600221,G56,--,0.59,37.33,1.54,2020-05-29
600233,G60,26.5,2.59,33.23,4.13,2020-05-29
600271,C39,60.85,2.58,41.54,3.93,2020-05-29
600276,C27,76.62,15.99,43.1,4.17,2020-05-29
600297,F52,18.05,0.67,21.46,1.78,2020-05-29
600299,C27,30.6,2.15,43.1,4.17,2020-05-29
600309,C26,16.75,3.34,23.35,2.06,2020-05-29
600332,C27,16.52,1.93,43.1,4.17,2020-05-29
600340,K70,4.49,1.32,8.07,1.15,2020-05-29
600346,C28,8.4,2.55,13.75,2.1,2020-05-29
600352,C26,8.03,1.55,23.35,2.06,2020-05-29
600362,C32,23.43,0.91,32.73,1.88,2020-05-29
600369,J67,29.73,1.25,24.97,1.56,2020-05-29
600372,C37,34.88,2.95,30.04,1.79,2020-05-29
600383,K70,5.83,1.09,8.07,1.15,2020-05-29
600390,J69,11.28,0.84,17.79,1.31,2020-05-29
600398,C18,11.72,1.96,16.64,1.58,2020-05-29
600406,I65,19.7,2.79,61.63,4.92,2020-05-29
600436,C27,61.56,12.53,43.1,4.17,2020-05-29
600438,C13,23.61,2.65,25.36,4.13,2020-05-29
600482,C37,31.66,0.98,30.04,1.79,2020-05-29
600487,C38,23.34,2.3,25.9,3.02,2020-05-29
600489,B09,53.07,2.19,39.67,2.37,2020-05-29
600498,C39,52.63,2.9,41.54,3.93,2020-05-29
600516,C30,18.51,1.69,15.28,2.23,2020-05-29
600519,C15,39.85,11.51,34.72,7.25,2020-05-29
600522,C38,19.65,1.67,25.9,3.02,2020-05-29
600535,C27,26.33,1.95,43.1,4.17,2020-05-29
600547,B09,77.33,4.84,39.67,2.37,2020-05-29
600566,C27,11.35,2.72,43.1,4.17,2020-05-29
600570,I65,86.92,19.06,61.63,4.92,2020-05-29
600583,B11,--,0.91,28.95,1.49,2020-05-29
600585,C30,9.28,2.12,15.28,2.23,2020-05-29
600588,I65,131.38,16.28,61.63,4.92,2020-05-29
600606,K70,4.65,0.82,8.07,1.15,2020-05-29
600637,I63,19.33,1.17,41.83,1.42,2020-05-29
600655,F52,10.26,1.02,21.46,1.78,2020-05-29
600660,C30,17.9,2.25,15.28,2.23,2020-05-29
600663,K70,12.87,2.43,8.07,1.15,2020-05-29
600674,D44,14.31,1.41,17.02,1.24,2020-05-29
600690,C38,15.24,2.24,25.9,3.02,2020-05-29
600703,C39,88.75,4.28,41.54,3.93,2020-05-29
600705,J69,11.17,1.11,17.79,1.31,2020-05-29
600733,C36,--,1.2,20.65,1.51,2020-05-29
600741,C36,12.7,1.23,20.65,1.51,2020-05-29
600760,C37,36.83,4.95,30.04,1.79,2020-05-29
600795,D44,--,0.67,17.02,1.24,2020-05-29
600809,C15,48.84,12.87,34.72,7.25,2020-05-29
600816,J69,--,1.96,17.79,1.31,2020-05-29
600837,J67,16.53,1.04,24.97,1.56,2020-05-29
600848,K70,34.53,3.08,8.07,1.15,2020-05-29
600867,C27,39.53,6.18,43.1,4.17,2020-05-29
600886,D44,9.88,1.22,17.02,1.24,2020-05-29
600887,C14,29.75,6.43,45.97,6.56,2020-05-29
600893,C37,46.66,1.88,30.04,1.79,2020-05-29
600900,D44,18.29,2.52,17.02,1.24,2020-05-29
600919,J66,4.53,0.5,5.89,0.63,2020-05-29
600926,J66,7.76,0.74,5.89,0.63,2020-05-29
600928,J66,8.13,0.91,5.89,0.63,2020-05-29
600958,J67,32.41,1.17,24.97,1.56,2020-05-29
600968,B11,21.1,1.24,28.95,1.49,2020-05-29
600977,R86,51.45,2.09,46.73,2.1,2020-05-29
600989,C26,17.64,2.7,23.35,2.06,2020-05-29
600998,F51,17.1,1.85,15.86,1.37,2020-05-29
600999,J67,15.99,1.27,24.97,1.56,2020-05-29
601006,G53,8.29,0.87,--,1.29,2020-05-29
601009,J66,6.14,0.87,5.89,0.63,2020-05-29
601012,C30,18.72,4.14,15.28,2.23,2020-05-29
601018,G55,13.87,1.08,13.23,1.1,2020-05-29
601021,G56,28.85,2.24,37.33,1.54,2020-05-29
601066,J67,41,4.17,24.97,1.56,2020-05-29
601088,B06,8.05,0.9,7.61,0.82,2020-05-29
601108,J67,21.29,1.65,24.97,1.56,2020-05-29
601111,G56,--,1.05,37.33,1.54,2020-05-29
601117,E48,9.24,0.77,7.31,0.73,2020-05-29
601138,C39,15.13,2.92,41.54,3.93,2020-05-29
601155,K70,5.55,1.83,8.07,1.15,2020-05-29
601162,J67,140.37,2.08,24.97,1.56,2020-05-29
601166,J66,4.98,0.59,5.89,0.63,2020-05-29
601169,J66,4.74,0.48,5.89,0.63,2020-05-29
601186,E48,6.09,0.55,7.31,0.73,2020-05-29
601198,J67,29.63,1.4,24.97,1.56,2020-05-29
601211,J67,18.89,1,24.97,1.56,2020-05-29
601212,C32,--,1.78,32.73,1.88,2020-05-29
601216,C26,8.73,1.07,23.35,2.06,2020-05-29
601225,B06,6.39,1.18,7.61,0.82,2020-05-29
601229,J66,5.61,0.63,5.89,0.63,2020-05-29
601236,J67,57.8,5.11,24.97,1.56,2020-05-29
601238,C36,23.92,1.18,20.65,1.51,2020-05-29
601288,J66,5.53,0.59,5.89,0.63,2020-05-29
